SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
521,5BHK Residential House for New Property in Domalguda Himayatnagar,Residential House,"Hyderabad, Andhra Pradesh",Hanuman temple,Hyderabad,Andhra Pradesh,India,400,4320,2,5,5,4,5,Ready to Move,Semi-Furnished,18889,,New Property,South,"1 Covered, 1 Open",Freehold,0,81600000
522,2BHK Multistorey Apartment for Resale in Madhapur,Apartment,"Hyderabad, Andhra Pradesh",Fitjee school,Hyderabad,Andhra Pradesh,India,1200,1290,4,2,2,1,2,Ready to Move,Semi-Furnished,9302,,Resale,North,1 Covered,Freehold,100000,12000000
523,4BHK Villa for Resale in Praneeth Greenfield at Beeramguda Ramachandrapuram,Villa,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,2500,,,4,4,1,4,Ready to Move,Unfurnished,,,Resale,North,,,500000,16500000
524,2BHK Residential House for Resale in Patel Guda Mangalpalle,Residential House,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,1250,1350,2,2,2,1,2,Ready to Move,Unfurnished,11111,,Resale,East,,Freehold,100000,15000000
525,2BHK Multistorey Apartment for Resale in Royal Pavilion at Ameerpet,Apartment,"Hyderabad, Andhra Pradesh",RBI Quarters,Hyderabad,Andhra Pradesh,India,1632,1700,10,2,2,2,2,Ready to Move,Furnished,7353,,Resale,East,,Freehold,0,12500000
526,3BHK Villa for Resale in Modi Silver Oak Bungalows at Cherlapalli,Villa,"Hyderabad, Andhra Pradesh",Near Govt Mint,Hyderabad,Andhra Pradesh,India,1450,,,3,2,1,3,Ready to Move,Unfurnished,,,Resale,East,2 Covered,Freehold,1500000,15000000
527,4BHK Multistorey Apartment for Resale in GK Pride at Yapral,Apartment,"Hyderabad, Andhra Pradesh",Swarna Andhra,Hyderabad,Andhra Pradesh,India,1800,2768,5,4,4,1,4,Ready to Move,Furnished,6322,,Resale,West,2 Covered,Freehold,1000000,17500000
528,6BHK Residential House for Resale in Shaili Gardens,Residential House,"Hyderabad, Andhra Pradesh",Shaili Garden,Hyderabad,Andhra Pradesh,India,5000,5500,2,6,6,3,6,Ready to Move,Semi-Furnished,9091,,Resale,North,"2 Covered, 2 Open",Freehold,0,50000000
529,3BHK Multistorey Apartment for New Property in ,Apartment,"Hyderabad, Andhra Pradesh",Railway station,Hyderabad,Andhra Pradesh,India,2500,2590,19,3,3,2,3,Ready to Move,Unfurnished,6950,,New Property,West,2 Covered,Freehold,0,18000000
530,5BHK Multistorey Apartment for Resale in PBEL City at Appa Junction Area,Apartment,"Hyderabad, Andhra Pradesh",Property is about 1km from outer ring road.,Hyderabad,Andhra Pradesh,India,,4158,30,5,6,,5,Under Construction,Unfurnished,9380,,Resale,West,2 Covered,,0,39000000
531,"3BHK Multistorey Apartment for New Property in Rajapushpa Provincia at Narsingi, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,2335,2335,39,3,3,2,3,Under Construction,Unfurnished,11777,,New Property,West,,Freehold,0,27500000
532,"3BHK Multistorey Apartment for New Property in Ramky One Odyssey at Kokapet, Outer Ring Road",Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,1915,36,3,3,1,3,Under Construction,Unfurnished,10966,,New Property,North,,Freehold,0,21000000
533,"3BHK Multistorey Apartment for Resale in Sri Nivas Heights at Uppal, NH 2 2",Apartment,"Hyderabad, Andhra Pradesh",ratnadeep supermarket,Hyderabad,Andhra Pradesh,India,1315,1575,7,3,2,1,3,Ready to Move,Furnished,6349,,Resale,East,,Freehold,0,10000000
534,4BHK Multistorey Apartment for Resale in Sai Sagar Heights at Begumpet,Apartment,"Hyderabad, Andhra Pradesh",old airport,Hyderabad,Andhra Pradesh,India,3000,3100,10,4,4,3,4,Ready to Move,Furnished,9677,,Resale,,,Freehold,0,30000000
535,3BHK Multistorey Apartment for Resale in Addulas Sunrise Residency at Gachibowli,Apartment,"Hyderabad, Andhra Pradesh",South Indian Shopping Mall,Hyderabad,Andhra Pradesh,India,1400,1500,5,3,3,2,3,Ready to Move,Semi-Furnished,15333,,Resale,North,,Freehold,0,23000000
536,"3BHK Multistorey Apartment for Resale in Habsiguda, NH 2 2",Apartment,"Hyderabad, Andhra Pradesh",Tejaswi school,Hyderabad,Andhra Pradesh,India,1200,1600,5,3,3,2,3,Ready to Move,Unfurnished,8750,,Resale,East,"1 Covered, 1 Open",Freehold,0,14000000
537,4BHK Villa for Resale in Meenakshi Bamboos at Gachibowli,Villa,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,4490,,4,4,2,4,Ready to Move,Semi-Furnished,44543,,Resale,,,,20000000,200000000
538,3BHK Multistorey Apartment for Resale in Aditya Empress Towers at Shaikpet,Apartment,"Hyderabad, Andhra Pradesh",,Hyderabad,Andhra Pradesh,India,,2100,22,3,3,2,3,Ready to Move,Unfurnished,9000,,Resale,East,2 Covered,Freehold,0,18900000
539,3BHK Multistorey Apartment for Resale in Bollineni Bion at Kondapur,Apartment,"Hyderabad, Andhra Pradesh",Botanical Garden,Hyderabad,Andhra Pradesh,India,1900,2290,24,3,4,3,3,Ready to Move,Unfurnished,13974,,Resale,North - East,2 Covered,Freehold,1000000,32000000
540,2BHK Multistorey Apartment for Resale in Manjeera Diamond Towers at Gopanpalle,Apartment,"Hyderabad, Andhra Pradesh",Navodaya school,Hyderabad,Andhra Pradesh,India,1110,1200,9,2,2,2,2,Ready to Move,Furnished,8333,,Resale,East,1 Covered,Freehold,0,10000000
541,3BHK Residential House for New Property in The Signature at Mamidipally,Residential House,"Hyderabad, Andhra Pradesh",5 Mins RGI Airport  10 min ORR Exit 14 30 min Financial district,Hyderabad,Andhra Pradesh,India,1700,1900,1,3,3,1,3,Ready to Move,Semi-Furnished,5789,,New Property,East,,Freehold,500000,11000000
