SlNo,Property_Name,Property_Type,Address,Landmarks,City,State_code,Country,Carpet_area,Builtup_Area,Floor,Beds,Bathroom,Balcony,BHK_Type,Status,Furnished_status,Price_per_square_feet,Year_Built,Transaction_type,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
1,2BHK Builder Floor Apartment for New Property in Uttam Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",Near metro station. 5 min walking distance from metro station.,New Delhi,Delhi NCR,India,550,600,4,2,2,1,2,Ready to Move,Semi-Furnished,4167,2011,New Property,East,"1 Covered, 1 Open",Freehold,11000,2500000
2,"3BHK Builder Floor Apartment for New Property in Hemkunt Colony, Greater Kailash",Builder Floor Apartment,"New Delhi, Delhi N",Nearest Pamposh Enclave.,New Delhi,Delhi N,India,1300,1620,4,3,3,3,3,Ready to Move,Semi-Furnished,25309,2010,New Property,East,"2 Covered, 1 Open",Freehold,500000,41000000
3,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at New Moti Nagar, Kirti Nagar",Apartment,"New Delhi, Delhi N",3BHK with 3bathrooms apartment is available in DLF capital greens Moti,New Delhi,Delhi N,India,1490,1680,26,3,3,4,3,Ready to Move,Semi-Furnished,17738,2014,Resale,North,1 Covered,Freehold,2980000,29800000
4,2BHK Builder Floor Apartment for New Property in Dwarka Mor,Builder Floor Apartment,"New Delhi, Delhi NCR",Uttam nagar westpillar no 707ram nagar road,New Delhi,Delhi NCR,India,600,650,4,2,2,1,2,Ready to Move,Semi-Furnished,4308,2007,New Property,South - East,1 Covered,Freehold,11000,2800000
5,3BHK Builder Floor Apartment for Resale in Anand Vihar,Builder Floor Apartment,"New Delhi, Delhi N",Anand Vihar Metro Station,New Delhi,Delhi N,India,1200,1620,4,3,3,2,3,Ready to Move,Semi-Furnished,16667,2010,Resale,North - East,2 Covered,Freehold,1000000,27000000
6,3BHK Multistorey Apartment for Resale in Risland Sky Mansion at Chattarpur,Apartment,"New Delhi, Delhi N","MehrauliGurugram road, Ambience Mall, IGI airport",New Delhi,Delhi N,India,2310,3300,22,3,3,3,3,Ready to Move,Furnished,17424,2019,Resale,North - East,2 Covered,Freehold,5750000,57500000
7,3BHK Builder Floor Apartment for Resale in Sector 3 Rohini,Builder Floor Apartment,"New Delhi, Delhi N",rohini sec 3,New Delhi,Delhi N,India,96,1033,4,3,3,3,3,Ready to Move,Semi-Furnished,18870,,Resale,North - East,1 Covered,Freehold,1950000,19500000
8,3BHK Multistorey Apartment for Resale in IFS Apartments at Mayur Vihar 1,Apartment,"New Delhi, Delhi N",Mool Chand,New Delhi,Delhi N,India,1400,1500,7,3,3,2,3,Ready to Move,Unfurnished,16667,1999,Resale,East,,,2500000,25000000
9,2BHK Multistorey Apartment for Resale in Saket,Apartment,"New Delhi, Delhi NCR",IGNOU road,New Delhi,Delhi NCR,India,,900,4,2,2,2,2,Ready to Move,Unfurnished,5000,2000,Resale,North - East,,Freehold,200000,4500000
10,4BHK Multistorey Apartment for Resale in Guru Apartment at Sector 6 Dwarka,Apartment,"New Delhi, Delhi N",sports complex,New Delhi,Delhi N,India,2200,2450,7,4,3,3,4,Ready to Move,Semi-Furnished,13265,2000,Resale,North - East,"2 Covered, 1 Open",Freehold,1000000,32500000
11,3BHK Builder Floor Apartment for New Property in Safdarjung Enclave,Builder Floor Apartment,"New Delhi, Delhi N",Near all amenities,New Delhi,Delhi N,India,,1800,5,3,3,3,3,Ready to Move,Semi-Furnished,33333,2000,New Property,South -West,2 Covered,Freehold,5000000,60000000
12,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at Moti Nagar, Kirti Nagar",Apartment,"New Delhi, Delhi N",Near CTC Mall,New Delhi,Delhi N,India,1150,1550,26,3,2,4,3,Ready to Move,Furnished,20000,2010,Resale,North - East,1 Covered,Freehold,1000000,31000000
13,"3BHK Builder Floor Apartment for Resale in Kishangarh, Vasant Kunj",Builder Floor Apartment,"New Delhi, Delhi NCR","Near car market, esi dispensary.",New Delhi,Delhi NCR,India,1300,1350,5,3,3,1,3,Ready to Move,Semi-Furnished,6667,2000,Resale,West,1 Covered,Freehold,500000,9000000
14,1BHK Multistorey Apartment for Resale in Ganesh Nagar 1,Apartment,"New Delhi, Delhi NCR",Akshardham Metro Station,New Delhi,Delhi NCR,India,550,600,4,1,1,1,1,Ready to Move,Unfurnished,7500,,Resale,East,,Power Of Attorney,100000,4500000
15,"2BHK Builder Floor Apartment for New Property in Om Vihar, Nawada",Builder Floor Apartment,"New Delhi, Delhi NCR",Shiv Dairy,New Delhi,Delhi NCR,India,500,535,3,2,2,1,2,Ready to Move,Unfurnished,4486,,New Property,East,,Freehold,0,2400000
16,2BHK Builder Floor Apartment for Resale in Raj Nagar 2 Extension,Builder Floor Apartment,"New Delhi, Delhi NCR",Dada Dev Mandir,New Delhi,Delhi NCR,India,660,667,4,2,2,1,2,Ready to Move,Semi-Furnished,6747,,Resale,West,1 Covered,Freehold,500000,4500000
17,2BHK Builder Floor Apartment for Resale in Mahavir Enclave,Builder Floor Apartment,"New Delhi, Delhi NCR",Kali Bari Mandir,New Delhi,Delhi NCR,India,95,972,4,2,2,1,2,Ready to Move,Unfurnished,4630,,Resale,North,1 Covered,Freehold,0,4500000
18,"2BHK Builder Floor Apartment for Resale in Sherpur, Mustafabad",Builder Floor Apartment,"New Delhi, Delhi NCR",adarsh lakhapat School,New Delhi,Delhi NCR,India,540,560,4,2,2,1,2,Ready to Move,Semi-Furnished,4464,,Resale,East,1 Open,Freehold,100000,2500000
19,"1BHK Builder Floor Apartment for Resale in Bhagwati Vihar, Uttam Nagar",Builder Floor Apartment,"New Delhi, Delhi NCR",Bhagawati Vihar Chowk,New Delhi,Delhi NCR,India,450,465,3,1,1,1,1,Ready to Move,Unfurnished,4516,,Resale,East,,Freehold,300000,2100000
20,1BHK Builder Floor Apartment for Resale in Shahdara,Builder Floor Apartment,"New Delhi, Delhi NCR",Near Teliwara gurudwara Shahdara,New Delhi,Delhi NCR,India,400,450,4,1,1,1,1,Ready to Move,Semi-Furnished,3778,,Resale,North - East,,Freehold,100000,1700000
21,2BHK Builder Floor Apartment for Resale in Main Rajapuri Road,Builder Floor Apartment,"New Delhi, Delhi NCR",Bansal medicos,New Delhi,Delhi NCR,India,450,495,4,2,1,1,2,Ready to Move,Semi-Furnished,3838,,Resale,North,,Freehold,0,1900000
22,"4BHK Multistorey Apartment for Resale in Sukhdev Vihar, Okhla",Apartment,"New Delhi, Delhi N",Fortis Escort Hospital,New Delhi,Delhi N,India,2000,2781,4,4,4,1,4,Ready to Move,Furnished,12585,,Resale,North - East,,Freehold,0,35000000
23,3BHK Multistorey Apartment for Resale in RWA Block C2 Janakpuri at Janakpuri,Apartment,"New Delhi, Delhi N",Dabri mor,New Delhi,Delhi N,India,,1200,3,3,3,1,3,Ready to Move,Unfurnished,15000,,Resale,East,,Freehold,0,18000000
24,2BHK Multistorey Apartment for Resale in Matiala Extension,Apartment,"New Delhi, Delhi NCR",Tiranga Chauk,New Delhi,Delhi NCR,India,580,600,4,2,2,2,2,Ready to Move,Unfurnished,5000,,Resale,North,,Freehold,50000,3000000
25,2BHK Multistorey Apartment for Resale in Archana Apartment at Paschim Vihar,Apartment,"New Delhi, Delhi NCR",Nearby Peera Garhi Chowk and A1 Lal Market,New Delhi,Delhi NCR,India,70,630,4,2,2,1,2,Ready to Move,Semi-Furnished,13492,,Resale,East,1 Open,Freehold,0,8500000
26,"2BHK Builder Floor Apartment for Resale in Anarkali Colony, Krishna Nagar",Builder Floor Apartment,"New Delhi, Delhi NCR",Near Kabilla chowk,New Delhi,Delhi NCR,India,669,700,4,2,1,2,2,Ready to Move,Semi-Furnished,5714,,Resale,South - East,"1 Covered, 1 Open",Freehold,100000,4000000
27,2BHK Multistorey Apartment for Resale in Uttari Pitampura,Apartment,"New Delhi, Delhi NCR",keshav mahavidyalaya,New Delhi,Delhi NCR,India,650,750,4,2,1,1,2,Ready to Move,Furnished,9600,,Resale,North - East,1 Open,Freehold,0,7200000
28,2BHK Multistorey Apartment for Resale in Block D Saket,Apartment,"New Delhi, Delhi N",Anupam pvr,New Delhi,Delhi N,India,1075,1150,3,2,1,2,2,Ready to Move,Unfurnished,26087,,Resale,,,,3000000,30000000
29,"2BHK Builder Floor Apartment for Resale in Jangpura Extension, Jangpura",Builder Floor Apartment,"New Delhi, Delhi N",Eros Cinema,New Delhi,Delhi N,India,892,1000,3,2,2,2,2,Ready to Move,Semi-Furnished,14500,,Resale,North,,,0,14500000
30,3BHK Multistorey Apartment for Resale in Vikassheel Apartment at Sector 13 Rohini,Apartment,"New Delhi, Delhi N",North Ex mall,New Delhi,Delhi N,India,1150,1250,4,3,2,1,3,Ready to Move,Semi-Furnished,13600,,Resale,East,1 Open,Freehold,0,17000000
31,1BHK Builder Floor Apartment for Resale in Malviya Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,401,500,4,1,2,1,1,Ready to Move,Unfurnished,5000,,Resale,North - East,,,0,2500000
32,2BHK Multistorey Apartment for Resale in Everest Apartment at Kalkaji,Apartment,"New Delhi, Delhi NCR",Sri satya sai vidya vihar school,New Delhi,Delhi NCR,India,600,650,3,2,1,2,2,Ready to Move,Semi-Furnished,11077,,Resale,,,Freehold,0,7200000
33,1BHK Multistorey Apartment for Resale in Sector 34 Rohini,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,280,365,4,1,1,1,1,Ready to Move,Unfurnished,3808,,Resale,East,,Freehold,300000,1390000
34,2BHK Multistorey Apartment for Resale in Project Amar Colony at Lajpat Nagar,Apartment,"New Delhi, Delhi N",Tagore international school,New Delhi,Delhi N,India,,1100,3,2,2,1,2,Ready to Move,Unfurnished,14455,,Resale,West,1 Open,Freehold,0,15900000
35,4BHK Builder Floor Apartment for Resale in Deep Vihar Rohini,Builder Floor Apartment,"New Delhi, Delhi NCR",Adarsh hospital,New Delhi,Delhi NCR,India,1200,1250,4,4,3,2,4,Ready to Move,Furnished,6800,,Resale,South - East,"1 Covered, 1 Open",Power Of Attorney,0,8500000
36,3BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",Uttam Nagar West metro station,New Delhi,Delhi NCR,India,90,900,4,3,2,1,3,Ready to Move,Unfurnished,3722,,Resale,,,Freehold,0,3350000
37,1BHK Multistorey Apartment for Resale in Kondli,Apartment,"New Delhi, Delhi NCR","Near Hanuman Mandir, Dairy farm",New Delhi,Delhi NCR,India,355,455,5,1,1,1,1,Ready to Move,Unfurnished,7692,,Resale,East,"1 Covered, 1 Open",Freehold,50000,3500000
38,2BHK Builder Floor Apartment for Resale in Narayan Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR","Laxmi Nagar,Near Lalita Park",New Delhi,Delhi NCR,India,1200,1250,4,2,2,3,2,Ready to Move,Unfurnished,3520,,Resale,West,,Freehold,200000,4400000
39,3BHK Multistorey Apartment for New Property in ,Apartment,"New Delhi, Delhi NCR",Mata Bhatee Devi Public School,New Delhi,Delhi NCR,India,900,1050,4,3,2,1,3,Ready to Move,Semi-Furnished,5238,,New Property,North - West,1 Covered,Freehold,500000,5500000
40,2BHK Multistorey Apartment for Resale in Chattarpur,Apartment,"New Delhi, Delhi NCR",chattarpur temple,New Delhi,Delhi NCR,India,675,700,4,2,2,3,2,Ready to Move,Unfurnished,3857,,Resale,South - East,,,0,2700000
41,"2BHK Builder Floor Apartment for Resale in Khanpur, Madangir",Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,,670,5,2,2,,2,Ready to Move,Unfurnished,3731,,Resale,,,,0,2500000
42,2BHK Builder Floor Apartment for Resale in Ghitorni,Builder Floor Apartment,"New Delhi, Delhi NCR",Ojo life kitchen,New Delhi,Delhi NCR,India,900,1000,4,2,2,1,2,Ready to Move,Unfurnished,3000,,Resale,,,,0,3000000
43,2BHK Builder Floor Apartment for New Property in Raja Puri Matiala,Builder Floor Apartment,"New Delhi, Delhi NCR",Police Buth,New Delhi,Delhi NCR,India,430,450,4,2,2,1,2,Ready to Move,Semi-Furnished,6556,,New Property,,1 Covered,Freehold,295000,2950000
44,3BHK Builder Floor Apartment for Resale in Mahavir Enclave,Builder Floor Apartment,"New Delhi, Delhi NCR",Rajmandir Store,New Delhi,Delhi NCR,India,90,900,5,3,2,1,3,Ready to Move,Semi-Furnished,8333,,Resale,,1 Covered,Freehold,500000,7500000
45,2BHK Multistorey Apartment for Resale in Pul Pehlad Pur,Apartment,"New Delhi, Delhi NCR",Honda Bike Showroom,New Delhi,Delhi NCR,India,668,757,3,2,2,1,2,Ready to Move,Semi-Furnished,3038,,Resale,East,"2 Covered, 1 Open",Power Of Attorney,250000,2300000
46,"2BHK Builder Floor Apartment for Resale in Chawri Bazar, Chandni Chowk",Builder Floor Apartment,"New Delhi, Delhi NCR",chawri bazar metro station,New Delhi,Delhi NCR,India,859,900,4,2,2,1,2,Ready to Move,Semi-Furnished,4444,,Resale,,1 Open,Freehold,500000,4000000
47,2BHK Builder Floor Apartment for Resale in Raj Nagar 2 Extension,Builder Floor Apartment,"New Delhi, Delhi NCR",Dada Dev Mandir,New Delhi,Delhi NCR,India,620,650,4,2,2,1,2,Ready to Move,Unfurnished,4846,,Resale,,,Freehold,0,3150000
48,2BHK Multistorey Apartment for Resale in Dilshad Garden,Apartment,"New Delhi, Delhi NCR",Dilshad Garden Metro,New Delhi,Delhi NCR,India,750,800,4,2,1,2,2,Ready to Move,Semi-Furnished,11875,,Resale,East,1 Open,Freehold,100000,9500000
49,2BHK Multistorey Apartment for New Property in Nilothi,Apartment,"New Delhi, Delhi NCR",Daler mehndi farmhouse,New Delhi,Delhi NCR,India,460,486,4,2,1,1,2,Ready to Move,Semi-Furnished,4218,,New Property,,1 Open,Freehold,200000,2050000
50,"3BHK Builder Floor Apartment for Resale in Hudson Lane, GTB Nagar",Builder Floor Apartment,"New Delhi, Delhi N",100m Away from GTB Nagar Metro StationNear to Little Fairy School,New Delhi,Delhi N,India,1400,1440,4,3,3,1,3,Ready to Move,Semi-Furnished,18056,,Resale,South,"1 Covered, 1 Open",Freehold,100000,26000000
51,"4BHK Multistorey Apartment for Resale in Mahendru Enclave at Gujranwala Town, Model Town",Apartment,"New Delhi, Delhi N",Near chatrasaal stadium,New Delhi,Delhi N,India,1170,,4,4,3,3,4,Ready to Move,Semi-Furnished,,,Resale,,,Power Of Attorney,50000,13000000
52,2BHK Multistorey Apartment for Resale in Dilshad Colony,Apartment,"New Delhi, Delhi NCR",St Andrews Public School,New Delhi,Delhi NCR,India,1000,1056,3,2,1,1,2,Ready to Move,Semi-Furnished,4261,,Resale,North - East,"1 Covered, 1 Open",Freehold,100000,4500000
53,3BHK Multistorey Apartment for Resale in Uttam Nagar Floors at Uttam Nagar,Apartment,"New Delhi, Delhi NCR",Sunil Dairy,New Delhi,Delhi NCR,India,675,720,4,3,2,1,3,Ready to Move,Unfurnished,5556,,Resale,East,,Freehold,0,4000000
54,3BHK Builder Floor Apartment for Resale in Sector 24 Rohini,Builder Floor Apartment,"New Delhi, Delhi N",Delhi public school,New Delhi,Delhi N,India,900,950,4,3,2,1,3,Ready to Move,Semi-Furnished,10526,,Resale,North,"1 Covered, 1 Open",Freehold,0,10000000
55,"3BHK Builder Floor Apartment for Resale in Sadh Nagar, Palam",Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,900,1135,4,3,2,3,3,Ready to Move,Unfurnished,5727,,Resale,,,Freehold,0,6500000
56,2BHK Builder Floor Apartment for Resale in Laxmi Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",Hanuman mandir,New Delhi,Delhi NCR,India,500,540,3,2,2,1,2,Ready to Move,Semi-Furnished,4630,,Resale,East,1 Open,Freehold,100000,2500000
57,2BHK Builder Floor Apartment for Resale in Dwarka Mor,Builder Floor Apartment,"New Delhi, Delhi NCR",Kotak bank ATM,New Delhi,Delhi NCR,India,550,562,,2,2,1,2,Ready to Move,Semi-Furnished,6050,,Resale,East,,Freehold,0,3400000
58,1BHK Builder Floor Apartment for Resale in Vishnu Garden,Builder Floor Apartment,"New Delhi, Delhi NCR",Gurudwara bhatta sahib,New Delhi,Delhi NCR,India,,480,3,1,1,1,1,Ready to Move,Unfurnished,6042,,Resale,North - East,,Freehold,0,2900000
59,2BHK Multistorey Apartment for Resale in DDA Flats Sector C Pocket 9 at Vasant Kunj,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,1200,1200,2,2,2,1,2,Ready to Move,Furnished,20833,,Resale,West,,Freehold,0,25000000
60,2BHK Multistorey Apartment for Resale in Uttam Nagar,Apartment,"New Delhi, Delhi NCR",Nawada Metro station,New Delhi,Delhi NCR,India,55,540,4,2,2,1,2,Ready to Move,Unfurnished,6481,,Resale,East,,Freehold,0,3500000
61,1BHK Builder Floor Apartment for Resale in Mandawali,Builder Floor Apartment,"New Delhi, Delhi NCR",Gouri Shankar Mandir,New Delhi,Delhi NCR,India,400,405,4,1,1,,1,Ready to Move,Furnished,5679,,Resale,East,,Power Of Attorney,100000,2300000
62,"3BHK Builder Floor Apartment for Resale in Chand Nagar, Vishnu Garden",Builder Floor Apartment,"New Delhi, Delhi N",Sunil Dairy,New Delhi,Delhi N,India,1650,1800,4,3,3,2,3,Ready to Move,Furnished,8889,,Resale,North - West,2 Covered,Freehold,0,16000000
63,1BHK Multistorey Apartment for Resale in DDA Pocket Q at Dilshad Garden,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,500,550,2,1,1,1,1,Ready to Move,Unfurnished,4545,,Resale,,,,0,2500000
64,3BHK Multistorey Apartment for New Property in Vigyapan Lok Apartments at Mayur Vihar 1,Apartment,"New Delhi, Delhi N",Just behind Mayur Vihar Extn. Metro Station and opp. Star City Mall.,New Delhi,Delhi N,India,1300,1650,8,3,3,2,3,Ready to Move,Semi-Furnished,19697,,New Property,North - East,"1 Covered, 1 Open",Freehold,100000,32500000
65,2BHK Multistorey Apartment for Resale in Rwa GK 1 at Greater Kailash 1,Apartment,"New Delhi, Delhi N",M block market,New Delhi,Delhi N,India,125,900,2,2,2,,2,Ready to Move,Unfurnished,13333,,Resale,North - West,,Freehold,50000,12000000
66,"3BHK Multistorey Apartment for Resale in Safdarjung Development Area, Hauz Khas",Apartment,"New Delhi, Delhi N",Road next to Rose Garden from S.D.A. Market opp. IIT Main Gate,New Delhi,Delhi N,India,,1500,2,3,3,3,3,Ready to Move,Semi-Furnished,24000,,Resale,South,1 Open,Freehold,720000,36000000
67,2BHK Builder Floor Apartment for Resale in Vishnu Garden,Builder Floor Apartment,"New Delhi, Delhi NCR",Sagar Chole bhature wala,New Delhi,Delhi NCR,India,850,990,4,2,2,2,2,Ready to Move,Semi-Furnished,5556,,Resale,West,,Freehold,0,5500000
68,2BHK Multistorey Apartment for Resale in Dwarka Mor,Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,630,630,4,2,2,1,2,Ready to Move,Unfurnished,5079,,Resale,,,Freehold,50000,3200000
69,3BHK Multistorey Apartment for Resale in Supreme Enclave at Mayur Vihar 1,Apartment,"New Delhi, Delhi N",mayur vihar metro,New Delhi,Delhi N,India,1550,1650,17,3,2,2,3,Ready to Move,Semi-Furnished,16364,,Resale,East,1 Open,Freehold,300000,27000000
70,2BHK Builder Floor Apartment for New Property in Sector 20 Rohini,Builder Floor Apartment,"New Delhi, Delhi NCR",kalika mandir,New Delhi,Delhi NCR,India,800,900,4,2,2,2,2,Ready to Move,Furnished,4444,,New Property,East,,Freehold,0,4000000
71,"3BHK Multistorey Apartment for Resale in Prashant Vihar, Rohini",Apartment,"New Delhi, Delhi N",North Ex mall,New Delhi,Delhi N,India,950,1100,3,3,3,1,3,Ready to Move,Semi-Furnished,13182,,Resale,East,1 Open,Freehold,0,14500000
72,2BHK Builder Floor Apartment for Resale in Block FB Mansarover Garden,Builder Floor Apartment,"New Delhi, Delhi NCR","Walking to Ramesh Nagar, Rajouri Garden and Mayapuri metro station",New Delhi,Delhi NCR,India,66,594,4,2,1,1,2,Ready to Move,Semi-Furnished,10943,,Resale,North - East,1 Covered,Freehold,200000,6500000
73,2BHK Builder Floor Apartment for Resale in Sri Niwaspuri,Builder Floor Apartment,"New Delhi, Delhi NCR",harekrishna jewellers,New Delhi,Delhi NCR,India,700,720,3,2,2,2,2,Ready to Move,Semi-Furnished,13194,,Resale,East,,Freehold,0,9500000
74,3BHK Builder Floor Apartment for Resale in Block R Mahavir Enclave Part 1,Builder Floor Apartment,"New Delhi, Delhi NCR","Dashrathpuri metro station, dwarka, IGI airport, school, hospital",New Delhi,Delhi NCR,India,100,990,4,3,2,1,3,Ready to Move,Semi-Furnished,6566,,Resale,North - East,1 Covered,Freehold,0,6500000
75,2BHK Multistorey Apartment for Resale in Kadambari Apartments at Sector 9 Rohini,Apartment,"New Delhi, Delhi N",North Ex mall,New Delhi,Delhi N,India,975,1000,4,2,2,,2,Ready to Move,Semi-Furnished,22000,,Resale,East,1 Open,Freehold,0,22000000
76,3BHK Builder Floor Apartment for Resale in Arjun Nagar Safdarjung Enclave,Builder Floor Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,900,927,4,3,2,1,3,Ready to Move,Semi-Furnished,11650,,Resale,,,Freehold,0,10800000
77,2BHK Builder Floor Apartment for Resale in Govindpuri,Builder Floor Apartment,"New Delhi, Delhi NCR",divyanshi public school,New Delhi,Delhi NCR,India,650,700,4,2,2,1,2,Ready to Move,Unfurnished,5714,,Resale,,,Freehold,0,4000000
78,"2BHK Builder Floor Apartment for Resale in Sadh Nagar, Palam",Builder Floor Apartment,"New Delhi, Delhi NCR",Kailash Puri bus stand,New Delhi,Delhi NCR,India,580,592,4,2,2,1,2,Ready to Move,Semi-Furnished,5068,,Resale,,,Freehold,0,3000000
79,2BHK Builder Floor Apartment for Resale in Mahavir Enclave Part 1,Builder Floor Apartment,"New Delhi, Delhi NCR",Near Universal Public School,New Delhi,Delhi NCR,India,,592,4,2,2,2,2,Ready to Move,Semi-Furnished,4054,,Resale,East,1 Covered,Freehold,100000,2400000
80,1BHK Multistorey Apartment for Resale in Sangam Vihar Wazirabad,Apartment,"New Delhi, Delhi NCR",Near Divine Hospital,New Delhi,Delhi NCR,India,446,500,4,1,1,1,1,Ready to Move,Unfurnished,3000,,Resale,East,,Power Of Attorney,10000,1500000
81,"2BHK Builder Floor Apartment for Resale in Vishwakarma Colony, Mehrauli Badarpur Road",Builder Floor Apartment,"New Delhi, Delhi NCR",kamal medicos,New Delhi,Delhi NCR,India,713,900,4,2,2,2,2,Ready to Move,Unfurnished,3778,,Resale,North,,Freehold,200000,3400000
82,2BHK Builder Floor Apartment for Resale in Raja Puri Matiala,Builder Floor Apartment,"New Delhi, Delhi NCR",Sunil Dairy,New Delhi,Delhi NCR,India,600,630,3,2,2,1,2,Ready to Move,Unfurnished,4762,,Resale,North,,Freehold,0,3000000
83,2BHK Multistorey Apartment for Resale in DDA Red MIG Flats at Rajouri Garden,Apartment,"New Delhi, Delhi N","Pacific mall , 2 metro stations are just walk away",New Delhi,Delhi N,India,,1100,3,2,2,2,2,Ready to Move,Furnished,15909,,Resale,East,,Freehold,0,17500000
84,"3BHK Multistorey Apartment for Resale in DLF Capital Greens 1 and 2 at Moti Nagar, Kirti Nagar",Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,1586,1586,17,3,3,3,3,Ready to Move,Semi-Furnished,26482,,Resale,,,,0,42000000
85,1BHK Builder Floor Apartment for Resale in Kalu Sarai,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,18,194,1,1,1,,1,Ready to Move,Unfurnished,20644,,Resale,,,,0,4000000
86,2BHK Builder Floor Apartment for Resale in Sector 22 Rohini,Builder Floor Apartment,"New Delhi, Delhi NCR",gd Goenka Public School,New Delhi,Delhi NCR,India,600,650,4,2,2,1,2,Ready to Move,Furnished,12308,,Resale,North,"1 Covered, 1 Open",Freehold,0,8000000
87,"2BHK Multistorey Apartment for Resale in Lajwanti Garden, Janakpuri",Apartment,"New Delhi, Delhi NCR",A maintained park in the front with a walking trail  market  rear.,New Delhi,Delhi NCR,India,,1184,4,2,2,,2,Ready to Move,Semi-Furnished,8361,,Resale,South - East,,Freehold,0,9900000
88,2BHK Multistorey Apartment for Resale in Sector 23 Dwarka,Apartment,"New Delhi, Delhi N",,New Delhi,Delhi N,India,800,,4,2,2,1,2,Ready to Move,Unfurnished,,,Resale,West,,Freehold,500000,10000000
89,3BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR","Arya Samaj Road, Uttam Nagar West Metro station, Hospital, Schools",New Delhi,Delhi NCR,India,675,,4,3,2,1,3,Ready to Move,Semi-Furnished,,,Resale,,1 Covered,Freehold,0,5200000
90,2BHK Multistorey Apartment for Resale in Tilak Nagar,Apartment,"New Delhi, Delhi NCR",Tummy section,New Delhi,Delhi NCR,India,650,675,3,2,2,,2,Ready to Move,Unfurnished,11704,,Resale,North - East,1 Open,Freehold,500000,7900000
91,"2BHK Builder Floor Apartment for Resale in Vipin Garden, Nawada",Builder Floor Apartment,"New Delhi, Delhi NCR",Metro pillar No 798,New Delhi,Delhi NCR,India,95,900,4,2,2,2,2,Ready to Move,Furnished,4222,,Resale,West,,Freehold,0,3800000
92,3BHK Builder Floor Apartment for Resale in Shaheen bagh,Builder Floor Apartment,"New Delhi, Delhi NCR",,New Delhi,Delhi NCR,India,900,,4,3,2,2,3,Ready to Move,Unfurnished,,,Resale,,,,0,8500000
93,3BHK Multistorey Apartment for Resale in Neelamber Apartments at Sainik Vihar Pitam Pura,Apartment,"New Delhi, Delhi N",kendriya vidyalaya,New Delhi,Delhi N,India,1200,1300,3,3,2,1,3,Ready to Move,Furnished,23846,,Resale,North,1 Open,Freehold,3100000,31000000
94,2BHK Multistorey Apartment for Resale in DDA Flats Pocket 5 at Mayur Vihar 1,Apartment,"New Delhi, Delhi N",Sanjay Lake metro,New Delhi,Delhi N,India,1000,1100,3,2,2,1,2,Ready to Move,Semi-Furnished,10909,,Resale,East,1 Open,Freehold,100000,12000000
95,2BHK Builder Floor Apartment for Resale in Uttam Nagar,Builder Floor Apartment,"New Delhi, Delhi NCR",Uttam Nagar West metro station,New Delhi,Delhi NCR,India,70,675,3,2,2,2,2,Ready to Move,Semi-Furnished,4444,,Resale,,,Freehold,0,3000000
96,4BHK Builder Floor Apartment for New Property in Paschim Vihar,Builder Floor Apartment,"New Delhi, Delhi N",G D Goenka School,New Delhi,Delhi N,India,2250,2600,4,4,5,3,4,Ready to Move,Semi-Furnished,21154,,New Property,East,,Freehold,5000000,55000000
97,3BHK Multistorey Apartment for Resale in Dwarka,Apartment,"New Delhi, Delhi NCR",Garg store,New Delhi,Delhi NCR,India,1000,1100,4,3,2,1,3,Ready to Move,Semi-Furnished,4545,,Resale,,1 Covered,Freehold,100000,5000000
98,4BHK Builder Floor Apartment for Resale in Balaji apartment at Sector 14 Rohini,Builder Floor Apartment,"New Delhi, Delhi NCR",Maxfort school,New Delhi,Delhi NCR,India,1300,1400,4,4,3,1,4,Ready to Move,Semi-Furnished,7036,,Resale,North,"1 Covered, 1 Open",Freehold,2000000,9850000
99,4BHK Builder Floor Apartment for Resale in New Friends Colony,Builder Floor Apartment,"New Delhi, Delhi N",cambridge school,New Delhi,Delhi N,India,2300,2500,4,4,4,2,4,Ready to Move,Semi-Furnished,25000,,Resale,North - East,2 Covered,Freehold,500000,62500000
